movie_id,title,genres,release_year,popularity,vote_average,vote_count,movie_mean,poster_url,overview
15,Cutthroat Island,Action|Adventure,1995.0,7.284477,5.7,137.0,2.7009310841261893,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
16,Casino,Drama|Crime,1995.0,10.137389,7.8,1343.0,3.927041906946441,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.
17,Sense and Sensibility,Drama|Romance,1995.0,10.673167,7.2,364.0,3.9034604103958137,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites."
18,Four Rooms,Crime|Comedy,1995.0,9.026586,6.5,539.0,3.329512817613517,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
19,Ace Ventura: When Nature Calls,Crime|Comedy|Adventure,1995.0,8.205448,6.1,1128.0,2.646545333464114,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
20,Money Train,Action|Comedy|Crime,1995.0,7.337906,5.4,224.0,2.817494297001057,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."
21,Get Shorty,Comedy|Thriller|Crime,1995.0,12.669608,6.4,305.0,3.5371489734601904,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
22,Copycat,Drama|Thriller,1995.0,10.701801,6.5,199.0,3.3770906359539308,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Assassins,Action|Adventure|Crime|Thriller,1995.0,11.065939,6.0,394.0,3.1746258276303343,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
24,Powder,Drama|Fantasy|Science Fiction|Thriller,1995.0,12.133094,6.3,143.0,3.108074290923565,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."
25,Leaving Las Vegas,Drama|Romance,1995.0,10.332025,7.1,365.0,3.733159408924708,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,Othello,Drama,1995.0,1.845899,7.0,33.0,3.821489734601903,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
27,Now and Then,Comedy|Drama|Family,1995.0,8.681325,6.6,91.0,3.3095747788349192,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more."
28,Persuasion,Drama|Romance,1995.0,2.228434,7.4,36.0,3.9658651020008273,/si8911IezMvAnQFDvyg1nKzDlD.jpg,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne."
29,The City of Lost Children,Fantasy|Science Fiction|Adventure,1995.0,9.822423,7.6,308.0,3.971442163244867,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,Shanghai Triad,Drama|Crime,1995.0,1.100915,6.5,17.0,3.8809931564012685,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,Dangerous Minds,Drama|Crime,1995.0,9.481338,6.4,249.0,3.21733824140466,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost."
32,Twelve Monkeys,Science Fiction|Thriller|Mystery,1995.0,12.297305,7.4,2470.0,3.914004464408055,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease."
34,Babe,Fantasy|Drama|Comedy|Family,1995.0,14.404764,6.0,756.0,3.5994437735033924,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be."
35,Carrington,History|Drama|Romance,1995.0,1.493361,6.4,16.0,3.5446810841261893,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector."
36,Dead Man Walking,Drama,1995.0,6.891317,7.3,350.0,3.919402727945129,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.
37,Across the Sea of Time,Adventure|History|Drama|Family,1995.0,0.114469,3.5,2.0,3.1021281922884327,/lKOAyy098yjoot8cutYsStVO1WS.jpg,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today."
38,It Takes Two,Comedy|Family|Romance,1995.0,7.777735,6.1,149.0,3.1021281922884327,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda."
39,Clueless,Comedy|Drama|Romance,1995.0,9.882383,6.9,828.0,3.5497191787681524,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him."
40,"Cry, the Beloved Country",Drama,1995.0,0.894647,6.7,13.0,3.7468088496380934,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41,Richard III,Drama|War,1995.0,4.561387,6.9,50.0,3.9362463337863933,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,Shakespeare's Play transplanted into a 1930s setting.
42,Dead Presidents,Action|Crime|Drama|History,1995.0,9.87957,6.6,80.0,2.7653498104299308,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s."
43,Restoration,Drama|Romance,1995.0,10.979269,6.3,30.0,3.6008763144717078,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician."
44,Mortal Kombat,Action|Fantasy,1995.0,10.870138,5.4,452.0,2.7956952871167218,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time."
45,To Die For,Fantasy|Drama|Comedy|Thriller,1995.0,10.448481,6.7,177.0,3.5253103613753964,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role."
46,How To Make An American Quilt,Drama|Romance,1995.0,4.485958,6.5,38.0,3.2773469027070017,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom."
47,Se7en,Crime|Mystery|Thriller,1995.0,18.45743,8.1,5915.0,4.022887851194267,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
48,Pocahontas,Adventure|Animation|Drama|Family,1995.0,13.280069,6.7,1509.0,2.9729529900911973,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith."
49,When Night Is Falling,Drama|Romance,1995.0,3.302524,5.9,10.0,3.6735567637170043,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town."
50,The Usual Suspects,Drama|Crime|Thriller,1995.0,16.302466,8.1,3334.0,4.350557754106889,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
52,Mighty Aphrodite,Comedy|Romance,1995.0,15.899134,6.7,145.0,3.6288374526074825,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
53,Lamerica,Drama|Foreign,1994.0,1.361286,7.7,11.0,3.785816224336505,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand."
54,The Big Green,Action|Adventure|Comedy|Family,1995.0,5.982764,5.2,41.0,3.5893621682523786,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles."
55,Georgia,Drama,1995.0,4.093443,6.1,15.0,3.4286270314562755,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing."
57,Home for the Holidays,Comedy|Drama|Romance,1995.0,8.416802,6.3,39.0,3.2481524918957385,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics."
58,The Postman,Comedy|Drama|Romance,1994.0,10.168437,7.6,181.0,3.9542979469203807,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
59,The Confessional,Thriller|Drama|Mystery,1995.0,0.120789,6.5,2.0,3.6735567637170043,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies."
60,The Indian in the Cupboard,Adventure|Family|Fantasy,1995.0,10.673296,5.9,136.0,2.9247269552978117,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.
61,Eye for an Eye,Drama|Thriller,1996.0,4.733526,5.8,65.0,3.5595747788349192,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter."
62,Mr. Holland's Opus,Music|Drama|Family,1995.0,7.137117,6.9,115.0,3.6816836668045547,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996.0,11.700115,6.2,192.0,3.1558997587290025,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?"
64,Two If by Sea,Comedy|Romance,1996.0,2.174487,4.5,14.0,2.7809931564012684,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned."
65,Bio-Dome,Comedy,1996.0,6.387469,4.4,110.0,2.3285958938407614,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves."
66,Lawnmower Man 2: Beyond Cyberspace,Action|Science Fiction,1996.0,2.49535,2.8,32.0,2.7714897346019027,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan."
68,French Twist,Comedy|Romance,1995.0,2.518051,6.0,43.0,3.5165305650783867,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,Friday,Comedy,1995.0,14.56965,7.0,513.0,3.767218420222927,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
70,From Dusk Till Dawn,Horror|Action|Thriller|Crime,1996.0,15.339153,6.9,1644.0,3.070092402755076,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint."
71,Fair Game,Action|Thriller|Romance,1995.0,5.912223,4.1,54.0,2.8929081121682523,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her"
72,Kicking and Screaming,Comedy|Drama|Romance,1995.0,3.367276,7.0,36.0,3.3377179405471846,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies."
73,Les Miserables,Drama|History,1995.0,1.479446,6.6,8.0,3.956383185889946,/ePJCk8puXx28CtvpSpmezpwfVt8.jpg,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life."
74,Bed of Roses,Drama|Romance,1996.0,10.412194,5.1,27.0,3.1339540560841264,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all."
76,Screamers,Horror|Science Fiction,1995.0,12.758848,6.1,154.0,3.3857448673009514,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms."
77,Nico Icon,Documentary,1995.0,0.133893,7.3,3.0,3.6735567637170043,/tuIDKBp92R4tGFOB46MofvakfiY.jpg,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live."
78,The Crossing Guard,Drama|Thriller,1995.0,5.756462,6.1,74.0,3.314326489734602,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other."
79,The Juror,Drama|Thriller,1996.0,6.010579,5.5,91.0,3.05531926922642,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown."
80,The White Balloon,Family|Drama,1995.0,1.196256,7.5,20.0,4.023877482891003,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
